,sentence,subject
16393,The Fair Deal was a set of domestic reforms proposed by President Harry S. Truman in 1949.,American Studies
540,Ecological restoration is the process of rehabilitating damaged or destroyed ecosystems.,Environmental Science
4235,The instrumentation of type-3 language music is distinct from others.,Music
5507,The intersection of politics and culture is a critical area of inquiry in anthropological research.,Anthropology
13038,"Social Disorganization Theory is often linked to the concept of anomie, which refers to a state of normlessness in a society.",Sociology
13322,"His theory has been applied to a wide range of topics, including crime and deviance, education, and religion.",Sociology
754,Ecological modeling is a crucial aspect of environmental science that helps us understand complex ecosystems.,Environmental Science
9696,The production of honey is an example of a positive externality because it also pollinates nearby crops.,Economics
2542,The right to life is a fundamental human right that is recognized in international law.,Law
6073,"Astronomers use quantum mechanics to study the properties of dark matter and dark energy, which make up a large portion of the universe's mass-energy budget.",Astronomy
9279,"It involves a deep understanding of the software system, its architecture, and its components.",Computer Science
5218,"Crop rotation can also help to reduce the risk of soil salinization, which can occur when the same crop is grown repeatedly in the same area.",Agriculture
9267,Cloud computing is used by many organizations to reduce costs.,Computer Science
11670,"The spectral lines of an element are unique to that element, making them useful for identification purposes.",Physics
237,The Norman Conquest of 1066 had a significant impact on the English language.,English
4271,Music theory provides a set of rules for creating valid music sentences.,Music
5875,Anthropologists have long recognized the importance of understanding the complexities of race and ethnicity.,Anthropology
6657,"Using computational models, scientists can recreate the conditions present in distant astrophysical environments.",Astronomy
100,Tragedy is a form of drama that presents a conflict between a heroic individual and a superior force.,English
9719,The central bank uses monetary policy to regulate the money supply.,Economics
16287,Aerospace Engineers are working on developing reusable rockets for Mars exploration.,Aerospace Engineering
